,age,sex,wtyrago,finalwt,wtkg2,htm3
610,42.0,2,95.45454545454545,663.730818,99.09,165.0
611,54.0,1,70.45454545454545,648.969007,66.82,180.0
612,35.0,2,60.454545454545446,250.201156,70.91,160.0
613,73.0,2,90.9090909090909,299.672981,89.55,170.0
614,50.0,1,75.0,949.512784,79.55,168.0
615,53.0,2,131.8181818181818,214.290894,122.73,170.0
616,35.0,2,86.36363636363636,500.402312,86.36,160.0
617,80.0,1,106.81818181818181,259.274453,109.09,183.0
618,56.0,2,67.72727272727272,363.111207,64.09,157.0
619,60.0,1,89.99999999999999,306.48657,90.0,180.0
620,72.0,1,72.72727272727272,679.915585,72.73,178.0
621,53.0,1,99.99999999999999,324.484504,100.0,178.0
622,49.0,1,136.36363636363635,162.242252,109.09,185.0
623,70.0,1,102.27272727272727,226.488037,88.18,191.0
624,66.0,1,175.0,452.976074,175.0,188.0
625,47.0,2,113.63636363636363,428.581789,113.64,155.0
626,55.0,2,68.18181818181817,363.111207,68.18,155.0
627,48.0,1,88.63636363636363,324.484504,88.64,188.0
628,42.0,2,88.63636363636363,331.865409,86.36,157.0
629,54.0,2,69.09090909090908,214.290894,71.36,160.0
630,52.0,1,93.18181818181817,474.756392,95.45,178.0
631,38.0,1,79.54545454545453,2948.09605,79.55,191.0
632,54.0,2,61.36363636363636,217.462468,61.36,160.0
633,62.0,1,79.54545454545453,544.889047,79.55,170.0
634,68.0,1,102.27272727272727,452.976074,102.27,191.0
635,72.0,2,90.9090909090909,149.83649,90.91,165.0
636,80.0,2,68.18181818181817,219.980207,68.18,163.0
637,72.0,1,69.09090909090908,1019.87338,69.09,157.0
638,40.0,2,100.9090909090909,250.201156,94.55,165.0
639,46.0,2,54.54545454545454,428.581789,52.73,160.0
640,65.0,1,109.09090909090908,452.976074,79.55,188.0
641,56.0,2,72.72727272727272,181.555604,59.09,160.0
642,61.0,2,59.090909090909086,363.111207,81.82,168.0
643,27.0,2,68.18181818181817,741.621742,72.73,163.0
644,18.0,2,54.54545454545454,3412.34738,57.27,160.0
645,67.0,2,46.36363636363636,149.83649,46.36,155.0
646,35.0,1,104.54545454545453,1079.16831,118.18,180.0
647,50.0,2,96.81818181818181,217.462468,100.0,173.0
648,41.0,2,81.81818181818181,250.201156,84.09,170.0
649,50.0,1,72.72727272727272,648.969007,72.73,175.0
650,80.0,2,,219.980207,,155.0
651,38.0,1,115.45454545454544,982.698685,115.45,193.0
652,72.0,1,97.27272727272727,226.488037,86.36,178.0
653,25.0,2,99.99999999999999,1565.63436,122.73,170.0
654,39.0,2,68.18181818181817,250.201156,68.18,160.0
655,24.0,1,63.63636363636363,1617.20481,56.82,170.0
656,52.0,1,99.09090909090908,648.969007,102.27,180.0
657,78.0,2,70.45454545454545,219.980207,70.45,173.0
658,51.0,2,49.99999999999999,214.290894,50.0,157.0
659,70.0,2,79.54545454545453,166.858109,81.82,163.0
660,41.0,1,91.81818181818181,491.349342,79.55,170.0
661,23.0,2,47.72727272727273,3412.34738,47.73,152.0
